,sampler,nbench,nTrueUniform,nFalseUniform,nNAUniform
0,Uniform-KUS.csv,179,68,32,79
1,Uniform-DistanceBasedSampling.csv,252,0,207,45
2,Uniform-UniGen3.csv,116,1,0,115
3,Uniform-CustomSampler.csv,176,102,0,74
4,Uniform-UNIGEN2.csv,116,1,0,115
5,Uniform-SMARCH.csv,232,0,185,47
6,Uniform-QuickSampler.csv,268,0,258,10
7,Uniform-UniGen.csv,115,0,0,115
8,Uniform-SPUR.csv,11,0,0,11
9,Uniform-STS.csv,268,0,135,133
